Industry _x000D_,FY 2024-25 _x000D_,Unnamed: 2,FY 2023-24 _x000D_,Unnamed: 4
,Amount _x000D_,% of revenue _x000D_,Amount _x000D_,% of revenue _x000D_
Aerospace / Defence _x000D_,843.62 _x000D_,5.33% _x000D_,-_x000D_,-_x000D_
Automobiles _x000D_,970.18 _x000D_,6.13% _x000D_,1241.91 _x000D_,13.36% _x000D_
BMS / Automotive _x000D_,1.04 _x000D_,0.01% _x000D_,,
Gaming _x000D_,1180.71 _x000D_,7.46% _x000D_,1942.69 _x000D_,20.89% _x000D_
Industrial Sector _x000D_,6796.41 _x000D_,42.93% _x000D_,3347.70 _x000D_,36.01% _x000D_
Drones and UAV _x000D_,377.74 _x000D_,2.39% _x000D_,673.74 _x000D_,7.25% _x000D_
IoT / Robotics _x000D_,3040.82 _x000D_,19.21% _x000D_,,
Medical & Health care _x000D_,1566.44 _x000D_,9.89% _x000D_,572.67 _x000D_,6.16% _x000D_
Power _x000D_,871.52 _x000D_,5.51% _x000D_,1311.77 _x000D_,14.11% _x000D_
Oil & Gas _x000D_,182.17 _x000D_,1.15% _x000D_,,
Others _x000D_,0.07 _x000D_,0.00% _x000D_,7.21 _x000D_,0.07% _x000D_
Total _x000D_,15830.73 _x000D_,100% _x000D_,9297.64 _x000D_,100.00% _x000D_
